product,batch,reg,reg_lookup,server_lookup,key,value
dev,dev,us-west-2,us,nondb,MaintWindow-Automation,REBOOTGROUP1
dev,dev,us-east-1,us,nondb,MaintWindow-Automation,REBOOTGROUP1
dev,dev,us-west-2,us,nondb,MaintWindow-Automation,REBOOTGROUP2
dev,dev,us-east-1,us,nondb,MaintWindow-Automation,REBOOTGROUP2
dev,dev,us-west-2,us,nondb,MaintWindow-Automation,REBOOTGROUP3
dev,dev,us-east-1,us,nondb,MaintWindow-Automation,REBOOTGROUP3
dev,dev,us-west-2,us,nondb,MaintWindow-Automation,REBOOTGROUP4
dev,dev,us-east-1,us,nondb,MaintWindow-Automation,REBOOTGROUP4
dev,dev,us-west-2,us,nondb,MaintWindow-Automation,REBOOTGROUP5
dev,dev,us-east-1,us,nondb,MaintWindow-Automation,REBOOTGROUP5
dev,dev,us-west-2,us,nondb,MaintWindow-Automation,REBOOTGROUP6
dev,dev,us-east-1,us,nondb,MaintWindow-Automation,REBOOTGROUP6
dev,dev,us-west-2,us,nondb,MaintWindow-Automation,REBOOTGROUP7
dev,dev,us-east-1,us,nondb,MaintWindow-Automation,REBOOTGROUP7
dev,dev,us-west-2,us,nondb,MaintWindow-Automation,REBOOTGROUP8
dev,dev,us-east-1,us,nondb,MaintWindow-Automation,REBOOTGROUP8
mn1,macent,us-east-1,us,db,maintwindow-macent-mn1,rebootgroup1-dbonly
mn1,macent,us-east-1,us,nondb,maintwindow-macent-mn1,rebootgroup2-nondb
mn1,macent,us-west-2,us,db,maintwindow-macent-mn1,rebootgroup1-dbonly
mn1,macent,us-west-2,us,nondb,maintwindow-macent-mn1,rebootgroup2-nondb
mn2,macent,eu-west-1,eu,db,maintwindow-macent-mn2,rebootgroup1-dbonly
mn2,macent,eu-west-1,eu,nondb,maintwindow-macent-mn2,rebootgroup2-nondb
mn2,macent,eu-central-1,eu,db,maintwindow-macent-mn2,rebootgroup1-dbonly
mn2,macent,eu-central-1,eu,nondb,maintwindow-macent-mn2,rebootgroup2-nondb
mn4,macent,eu-west-1,eu,db,maintwindow-macent-mn4,rebootgroup1-dbonly
mn4,macent,eu-west-1,eu,nondb,maintwindow-macent-mn4,rebootgroup2-nondb
mn4,macent,eu-central-1,eu,db,maintwindow-macent-mn4,rebootgroup1-dbonly
mn4,macent,eu-central-1,eu,nondb,maintwindow-macent-mn4,rebootgroup2-nondb
mn6,macent,eu-west-1,eu,db,maintwindow-macent-mn6,rebootgroup1-dbonly
mn6,macent,eu-west-1,eu,nondb,maintwindow-macent-mn6,rebootgroup2-nondb
mn6,macent,eu-central-1,eu,db,maintwindow-macent-mn6,rebootgroup1-dbonly
mn6,macent,eu-central-1,eu,nondb,maintwindow-macent-mn6,rebootgroup2-nondb
mn7,macent,eu-west-1,eu,db,maintwindow-macent-mn7,rebootgroup1-dbonly
mn7,macent,eu-west-1,eu,nondb,maintwindow-macent-mn7,rebootgroup2-nondb
mn7,macent,eu-central-1,eu,db,maintwindow-macent-mn7,rebootgroup1-dbonly
mn7,macent,eu-central-1,eu,nondb,maintwindow-macent-mn7,rebootgroup2-nondb
mn8,macent,eu-west-1,eu,db,maintwindow-macent-mn8,rebootgroup1-dbonly
mn8,macent,eu-west-1,eu,nondb,maintwindow-macent-mn8,rebootgroup2-nondb
mn8,macent,eu-central-1,eu,db,maintwindow-macent-mn8,rebootgroup1-dbonly
mn8,macent,eu-central-1,eu,nondb,maintwindow-macent-mn8,rebootgroup2-nondb
mn9,macent,eu-west-1,eu,db,maintwindow-macent-mn9,rebootgroup1-dbonly
mn9,macent,eu-west-1,eu,nondb,maintwindow-macent-mn9,rebootgroup2-nondb
mn9,macent,eu-central-1,eu,db,maintwindow-macent-mn9,rebootgroup1-dbonly
mn9,macent,eu-central-1,eu,nondb,maintwindow-macent-mn9,rebootgroup2-nondb
mn10,macent,eu-west-1,eu,db,maintwindow-macent-mn10,rebootgroup1-dbonly
mn10,macent,eu-west-1,eu,nondb,maintwindow-macent-mn10,rebootgroup2-nondb
mn10,macent,eu-central-1,eu,db,maintwindow-macent-mn10,rebootgroup1-dbonly
mn10,macent,eu-central-1,eu,nondb,maintwindow-macent-mn10,rebootgroup2-nondb
mn12,macent,us-east-1,us,db,maintwindow-macent-mn12,rebootgroup1-dbonly
mn12,macent,us-east-1,us,nondb,maintwindow-macent-mn12,rebootgroup2-nondb
mn12,macent,us-west-2,us,db,maintwindow-macent-mn12,rebootgroup1-dbonly
mn12,macent,us-west-2,us,nondb,maintwindow-macent-mn12,rebootgroup2-nondb
mn13,macent,us-east-1,us,db,maintwindow-macent-mn13,rebootgroup1-dbonly
mn13,macent,us-east-1,us,nondb,maintwindow-macent-mn13,rebootgroup2-nondb
